"cgHdId","startDtEarly","startDtLate","endDtEarly","endDtLate","phenYear","cgPlaId","phenNote","start","end","hdCt","start.numeric","duration","midpoint","mid.yday","DAM","z","z.start","year.pop","year.pop.prop"
2015001441,"2015-07-17","2015-07-17","2015-07-27","2015-07-27",2015,134,"","2015-07-17","2015-08-03",5,16633,17,"2015-07-25",205,1,0.247789348637388,0.0333019025678,135,0.0974025974025974
2005000372,"2005-07-03","2005-07-03","2005-07-14","2005-07-14",2005,135,"","2005-07-03","2005-07-16",4,12967,13,"2005-07-09",189,-2,-0.632928111316417,-0.429553436118713,104,0.075036075036075
2006000313,"2006-07-07","2006-07-07","2006-07-17","2006-07-18",2006,135,"","2006-07-02","2006-07-20",4,13331,18,"2006-07-11",191,-1,-0.23650378325621,-0.474553708404603,150,0.108225108225108
2007000073,"2007-06-26","2007-06-27","2007-07-07","2007-07-08",2007,135,"","2007-06-25","2007-07-10",4,13689,15,"2007-07-02",182,-1,-0.37723655156682,-0.317076517638117,175,0.126262626262626
2009001140,"2009-07-07","2009-07-07","2009-07-20","2009-07-20",2009,135,"","2009-07-04","2009-07-22",4,14429,18,"2009-07-13",193,0,-0.174234177024685,-0.240485159259771,148,0.106782106782107
2012000724,"2012-06-25","2012-06-25","2012-07-05","2012-07-05",2012,135,"","2012-06-25","2012-07-05",1,15516,10,"2012-06-30",181,-3,-0.695068032018251,-0.577488585021911,47,0.0339105339105339
2014000037,"2014-07-09","2014-07-09","2014-07-20","2014-07-20",2014,135,"","2014-07-08","2014-07-23",3,16259,15,"2014-07-15",195,-2,-0.512802344544139,-0.49571593395571,90,0.0649350649350649
2015001436,"2015-07-17","2015-07-17","2015-07-27","2015-07-27",2015,135,"","2015-07-17","2015-08-19",5,16633,33,"2015-08-02",213,9,2.04384637231779,0.0333019025678,135,0.0974025974025974
2007000070,"2007-06-25","2007-06-25","2007-07-07","2007-07-08",2007,136,"","2007-06-25","2007-07-08",1,13689,13,"2007-07-01",181,-2,-0.671952607478397,-0.317076517638117,175,0.126262626262626
2008001235,"2008-07-24","2008-07-24","2008-08-06","2008-08-06",2008,136,"","2008-07-18","2008-08-09",3,14078,22,"2008-07-29",210,4,0.717351429897582,0.145163297605773,142,0.102453102453102
NA,"2010-07-04","2010-7-4 0:00:00","2010-7-16 0:00:00","2010-07-16",2010,136,"","2010-07-04","2010-07-16",1,14794,12,"2010-07-10",190,3,0.699344694723728,0.776059677489325,100,0.0721500721500721
2011002015,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",2011,136,"","2011-07-14","2011-07-31",2,15169,17,"2011-07-22",202,0,-0.0148990399093285,-0.164658405605588,188,0.135642135642136
2013001455,"2013-07-22","2013-07-22","2013-08-10","2013-08-10",2013,136,"","2013-07-20","2013-08-10",2,15906,21,"2013-07-30",210,3,0.520134971326555,0.132629988676581,107,0.0772005772005772
2014000040,"2014-07-10","2014-07-10","2014-07-29","2014-07-29",2014,136,"","2014-07-10","2014-07-29",1,16261,19,"2014-07-19",199,2,0.429079512781831,-0.0107764333468649,90,0.0649350649350649
2015001435,"2015-07-19","2015-07-19","2015-08-01","2015-08-02",2015,136,"","2015-07-19","2015-08-02",1,16635,14,"2015-07-26",206,2,0.472296476597439,0.46146922129663,135,0.0974025974025974
